"Key"	"en"	"es"	"cs"	"fi"	"fr"	"uk"	"sv"	"no"	"zh"	"tr"	"ru"	"ka"	"ro"	"pt"	"pl"	"nl"	"de"	"ko"	"ja"	"it"	"id"	"hi"	"bn"	"vi"	"ar"
"CRT_Successors"	"Successors"	"Sucesores"	"Nástupci"	"Seuraajat"	"Successeurs"	"Наступники"	"Efterföljare"	"Etterfølgere"	"继任模组"	"Halefler"	"Преемники"	"მემკვიდრეები"	"Succesori"	"Sucessores"	"Następcy"	"Opvolgers"	"Nachfolger"	"후계자"	"移行先"	"Successori"	"Penerus"	"उत्तराधिकारियों"	"উত্তরসূরি"	"Người kế thừa"	"الخلفاء"
"CRT_RequiredMods"	"Required Mods"	"Mods Requeridos"	"Požadované mody"	"Vaadittavat modit"	"Mods requis"	"Необхідні моди"	"Obligatoriska mods"	"Nødvendige mods"	"前置模组"	"Gerekli Modlar"	"Требуемые моды"	"საჭირო mods"	"Moduri necesare"	"Mods necessários"	"Wymagane mody"	"Vereiste mods"	"Erforderliche Mods"	"필요한 개조"	"必須MOD"	"MOD richieste"	"Mod yang diperlukan"	"आवश्यक मॉड"	"প্রয়োজনীয় মোড"	"Mod bắt buộc"	"مطلوب تعديل"
"CRT_DlcMissing"	"Required DLCs"	"DLC Requeridos"	"Požadované DLC"	"Vaadittavat DLC: t"	"DLC requis"	"Необхідні DLCS"	"Obligatoriska DLC: er"	"Nødvendige DLC -er"	"需要的 DLC"	"Gerekli DLC'ler"	"Требуемые DLC"	"საჭირო DLC"	"DLC -uri necesare"	"DLCs ​​necessários"	"Wymagane DLC"	"Vereiste DLC's"	"Erforderliche DLCs"	"필요한 DLC"	"必須DLC"	"DLC richiesti"	"DLC yang diperlukan"	"आवश्यक डीएलसीएस"	"প্রয়োজনীয় ডিএলসিএস"	"DLC yêu cầu"	"مطلوب DLCs"
"CRT_Compatibility"	"Compatibilities"	"Compatibilidad"	"Kompatibility"	"Yhteensopiteet"	"Compatibilités"	"Сумісність"	"Kompatibilitet"	"Kompatibiliteter"	"兼容性"	"Uyuşukluklar"	"Совместимость"	"თავსებადობა"	"Compatibilități"	"Compatibilidades"	"Kompatybilności"	"Compatibiliteit"	"Kompatibilitäten"	"호환성"	"互換性"	"Compatibilità"	"Kompatibilitas"	"compatibilities"	"সামঞ্জস্যতা"	"Tính tương thích"	"التوافق"
"CRT_UnneededDependency"	"Unnecessary Dependency"	"Dependencia Innecesaria"	"Zbytečná závislost"	"Tarpeeton riippuvuus"	"Dépendance inutile"	"Непотрібна залежність"	"Onödigt beroende"	"Unødvendig avhengighet"	"非必要的依赖项"	"Gereksiz bağımlılık"	"Ненужная зависимость"	"არასაჭირო დამოკიდებულება"	"Dependență inutilă"	"Dependência desnecessária"	"Niepotrzebna zależność"	"Onnodige afhankelijkheid"	"Unnötige Abhängigkeit"	"불필요한 의존성"	"不要な依存関係"	"Dipendenza inutile"	"Ketergantungan yang tidak perlu"	"अनावश्यक निर्भरता"	"অপ্রয়োজনীয় নির্ভরতা"	"Sự phụ thuộc không cần thiết"	"التبعية غير الضرورية"
"CRT_WorksWhenDisabled"	"Active while disabled"	"Activo mientras está deshabilitado"	"Aktivní, když je deaktivován"	"Aktiivinen vammaisesti"	"Demeure actif même lorsque désactivé"	"Активний, поки інваліди"	"Aktiv medan du är inaktiverad"	"Aktiv mens de er deaktivert"	"禁用时仍处于激活状态"	"Engelliyken aktif"	"Функционирует даже если отключен"	"აქტიურია ინვალიდობის დროს"	"Activ în timp ce este dezactivat"	"Ativo enquanto desativado"	"Aktywny, gdy jest wyłączony"	"Actief terwijl je gehandicapt bent"	"Aktiv während deaktiviert"	"비활성화 된 상태에서 활성화"	"無効時に有効化されます。"	"Attivo mentre disabilitato"	"Aktif saat dinonaktifkan"	"अक्षम करते समय सक्रिय"	"অক্ষম থাকাকালীন সক্রিয়"	"Hoạt động trong khi bị vô hiệu hóa"	"نشط أثناء تعطيله"
"CRT_Alternatives"	"Alternatives"	"Alternativas"	"Alternativy"	"Vaihtoehdot"	"Alternatives"	"Альтернативи"	"Alternativ"	"Alternativer"	"备选方案"	"Alternatifler"	"Альтернативы"	"ალტერნატივები"	"Alternative"	"Alternativas"	"Alternatywy"	"Alternatieven"	"Alternativen"	"대안"	"変更可能なMOD"	"Alternative"	"Alternatif"	"वैकल्पिक"	"বিকল্প"	"Lựa chọn thay thế"	"بدائل"
"CRT_Status"	"Status"	"Estado"	"Postavení"	"Tila"	"Statut"	"Статус"	"Status"	"Status"	"状态"	"Durum"	"Состояние"	"სტატუსი"	"stare"	"Status"	"Status"	"Toestand"	"Status"	"상태"	"スターテス"	"Stato"	"Status"	"दर्जा"	"স্থিতি"	"Trạng thái"	"حالة"
"CRT_Recommendations"	"Recommendations"	"Recomendaciones"	"Doporučení"	"Suositukset"	"Recommandations"	"Рекомендації"	"Rekommendationer"	"Anbefalinger"	"建议"	"Öneriler"	"Рекомендации"	"რეკომენდაციები"	"Recomandări"	"Recomendações"	"Zalecenia"	"Aanbevelingen"	"Empfehlungen"	"권장 사항"	"推奨事項"	"Raccomandazioni"	"Rekomendasi"	"सिफारिशों"	"প্রস্তাবনা"	"khuyến nghị"	"التوصيات"
"CRT_Note"	"Note"	"Nota"	"Poznámka"	"Huomautus"	"Note"	"Примітка"	"Notera"	"Merk"	"备注"	"Not"	"Примечание"	"შენიშვნა"	"Notă"	"Observação"	"Notatka"	"Opmerking"	"Notiz"	"메모"	"注意事項"	"Nota"	"Catatan"	"टिप्पणी"	"বিঃদ্রঃ"	"Ghi chú"	"ملحوظة"
"Subscribe"	"Subscribe"	"Suscribir"	"předplatit"	"Tilata"	"S'abonner"	"Підписатися"	"Prenumerera"	"Abonnere"	"订阅"	"Abone"	"Подписаться"	"გამოწერა"	"Abonati-va"	"Se inscrever"	"Subskrybuj"	"Abonneren"	"Abonnieren"	"구독하다"	"サブスク"	"sottoscrivi"	"Langganan"	"सदस्यता लें"	"সাবস্ক্রাইব"	"Đặt mua"	"يشترك"
"Switch"	"Switch"	"Cambiar"	"Přepínač"	"Vaihtaa"	"Changer"	"Перемикач"	"Växla"	"Bytte om"	"切换"	"Anahtar"	"Выключатель"	"შეცვლა"	"Intrerupator"	"Trocar"	"Przełącznik"	"Schakelaar"	"Schalten"	"스위치"	"切り替え"	"Interruttore"	"Mengalihkan"	"बदलना"	"স্যুইচ"	"Công tắc"	"يُحوّل"
"Enable"	"Enable"	"Permitir"	"Umožnit"	"ota käyttöön"	"Activer"	"Ввімкнути"	"Gör det möjligt"	"Muliggjøre"	"启用"	"Olanak vermek"	"Активировать"	"შესაძლებლობის მიცემა"	"Permite"	"Habilitar"	"Włączać"	"Inschakelen"	"Ermöglichen"	"할 수 있게 하다"	"有効"	"Abilitare"	"Memungkinkan"	"सक्षम"	"সক্ষম করুন"	"Cho phép"	"يُمكَِن"
"ModOwned"	"You have this mod"	"Tienes este mod"	"Máte tento mod"	"Sinulla on tämä mod"	"Vous avez ce mod"	"У вас є цей мод"	"Du har den här moden"	"Du har denne moden"	"您有这个模组"	"Bu mod var"	"У вас есть этот мод"	"თქვენ გაქვთ ეს mod"	"Ai acest mod"	"Você tem este mod"	"Masz ten mod"	"Je hebt deze mod"	"Sie haben diesen Mod"	"이 모드가 있습니다"	"MODが既にあります。"	"Hai questa mod"	"Anda memiliki mod ini"	"आपके पास यह मॉड है"	"আপনার এই মোড আছে"	"Bạn có mod này"	"لديك هذا التعديل"
"Settings"	"Settings"	"Ajustes"	"Nastavení"	"asetukset"	"Paramètres"	"Налаштування"	"inställningar"	"Innstillinger"	"设置"	"Ayarlar"	"Настройки"	"პარამეტრები"	"Setări"	"Configurações"	"Ustawienia"	"Instellingen"	"Einstellungen"	"설정"	"設定"	"Impostazioni"	"Pengaturan"	"समायोजन"	"সেটিংস"	"Cài đặt"	"إعدادات"
"NoLocalPackagesFound"	"No packages found on your computer."	"No se encuentran paquetes en su computadora."	"Na vašem počítači nebyly nalezeny žádné balíčky."	"Tietokoneeltasi ei löydy paketteja."	"Aucun package trouvé sur votre ordinateur."	"На вашому комп’ютері не знайдено жодних пакетів."	"Inga paket som finns på din dator."	"Ingen pakker som finnes på datamaskinen din."	"在您的电脑上找不到插件。"	"Bilgisayarınızda paket bulunamadı."	"На вашем компьютере не найдено пакетов."	"თქვენს კომპიუტერში არ არის ნაპოვნი პაკეტები."	"Nu se găsesc pachete pe computer."	"Não há pacotes encontrados no seu computador."	"Brak pakietów znalezionych na twoim komputerze."	"Geen pakketten op uw computer."	"Keine Pakete auf Ihrem Computer gefunden."	"컴퓨터에 패키지가 없습니다."	"PCにパッケージが見つかりません"	"Nessun pacchetto trovato sul tuo computer."	"Tidak ada paket yang ditemukan di komputer Anda."	"आपके कंप्यूटर पर कोई पैकेज नहीं मिला।"	"আপনার কম্পিউটারে কোনও প্যাকেজ পাওয়া যায় নি।"	"Không có gói nào được tìm thấy trên máy tính của bạn."	"لا توجد حزم موجودة على جهاز الكمبيوتر الخاص بك."
"CheckFolderInOptions"	"Check the options panel in case the wrong folders are being used."	"Verifique el panel de opciones en caso de que se usen las carpetas incorrectas."	"Zkontrolujte panel Možnosti v případě, že jsou použity nesprávné složky."	"Tarkista asetuspaneeli, jos vääriä kansioita käytetään."	"Vérifiez le panneau Options au cas où les mauvais dossiers seraient utilisés."	"Перевірте панель параметрів у випадку, якщо використовуються неправильні папки."	"Kontrollera alternativpanelen om fel mappar används."	"Kontroller alternativpanelet i tilfelle feil mapper blir brukt."	"如果您选择了错误的文件夹，请查看选项面板。"	"Yanlış klasörlerin kullanılması durumunda seçenekler panelini kontrol edin."	"Проверьте панель «Параметры», если используются неправильные папки."	"შეამოწმეთ პარამეტრების პანელი იმ შემთხვევაში, თუ არასწორი საქაღალდეები გამოიყენება."	"Verificați panoul de opțiuni în cazul în care sunt utilizate folderele greșite."	"Verifique o painel de opções caso as pastas erradas estejam sendo usadas."	"Sprawdź panel opcji na wypadek użycia niewłaściwych folderów."	"Controleer het optiepaneel voor het geval dat de verkeerde mappen worden gebruikt."	"Überprüfen Sie das Optionsfeld, falls die falschen Ordner verwendet werden."	"잘못된 폴더를 사용하는 경우 옵션 패널을 확인하십시오."	"間違ったフォルダが使用されている場合は、オプションパネルを確認して下さい。"	"Controllare il pannello Opzioni nel caso in cui vengano utilizzate le cartelle sbagliate."	"Periksa panel opsi jika folder yang salah sedang digunakan."	"यदि गलत फ़ोल्डर का उपयोग किया जा रहा है, तो विकल्प पैनल की जाँच करें।"	"ভুল ফোল্ডারগুলি ব্যবহার করা হচ্ছে এমন ক্ষেত্রে বিকল্প প্যানেলটি পরীক্ষা করুন।"	"Kiểm tra bảng tùy chọn trong trường hợp các thư mục sai đang được sử dụng."	"تحقق من لوحة الخيارات في حالة استخدام المجلدات الخاطئة."
"NoPackagesMatchFilters"	"No packages match your filter settings"	"No hay paquetes que coincidan con la configuración de su filtro"	"Žádné balíčky odpovídají nastavení vašeho filtru"	"Mikään paketti ei vastaa suodatinasetuksiasi"	"Aucun package correspond à vos paramètres de filtre"	"Ніякі пакети не відповідають вашим налаштуванням фільтра"	"Inga paket matchar dina filterinställningar"	"Ingen pakker samsvarer med filterinnstillingene dine"	"没有符合筛选条件的插件"	"Paket Yok Filtre ayarlarınızla eşleşiyor"	"Нет пакетов соответствующих фильтру"	"პაკეტები არ შეესაბამება თქვენს ფილტრის პარამეტრებს"	"Nu se potrivesc pachetele pentru setările filtrului"	"Nenhum pacotes corresponde às configurações do seu filtro"	"Żadne pakiety nie pasują do ustawień filtra"	"Pakketten komen niet overeen met uw filterinstellingen"	"Keine Pakete stimmen mit Ihren Filtereinstellungen überein"	"필터 설정과 일치하는 패키지가 없습니다"	"フィルターの設定で一致するパッケージがありません"	"Nessun pacchetto corrisponde alle impostazioni del filtro"	"Tidak ada paket yang cocok dengan pengaturan filter Anda"	"कोई भी पैकेज आपकी फ़िल्टर सेटिंग्स से मेल नहीं खाता है"	"কোনও প্যাকেজ আপনার ফিল্টার সেটিংসের সাথে মেলে না"	"Không có gói phù hợp với cài đặt bộ lọc của bạn"	"لا توجد حزم تتطابق مع إعدادات التصفية الخاصة بك"
"Actions"	"Actions"	"Comportamiento"	"Akce"	"Toiminnot"	"Actions"	"Дії"	"Handlingar"	"Handlinger"	"操作"	"Hareketler"	"Действия"	"მოქმედებები"	"Acțiuni"	"Ações"	"działania"	"Acties"	"Aktionen"	"행위"	"アクション"	"Azioni"	"Tindakan"	"कार्रवाई"	"ক্রিয়া"	"Hành động"	"أجراءات"
"ExcludeAll"	"Exclude all items in the list"	"Excluir todos los elementos en la lista"	"Vyloučte všechny položky v seznamu"	"Sulje pois kaikki luettelon kohteet"	"Exclure tous les éléments de la liste"	"Виключіть усі пункти у списку"	"Utesluta alla objekt i listan"	"Ekskluder alle elementene på listen"	"排除列表中的所有项目"	"Listedeki tüm öğeleri hariç tut"	"Исключить все элементы из списка"	"გამორიცხეთ სიაში ყველა ელემენტი"	"Excludeți toate elementele din listă"	"Exclua todos os itens da lista"	"Wyklucz wszystkie elementy na liście"	"Sluit alle items uit in de lijst"	"Alle Elemente in der Liste ausschließen"	"목록의 모든 항목을 제외하십시오"	"リスト内の全アイテムを除外"	"Escludere tutti gli elementi nell'elenco"	"Mengecualikan semua item dalam daftar"	"सूची में सभी वस्तुओं को बाहर करें"	"তালিকার সমস্ত আইটেম বাদ দিন"	"Loại trừ tất cả các mục trong danh sách"	"استبعاد جميع العناصر في القائمة"
"IncludeAll"	"Include all items in the list"	"Incluya todos los elementos en la lista"	"Zahrňte všechny položky do seznamu"	"Sisällytä kaikki luettelon kohteet"	"Inclure tous les éléments de la liste"	"Включіть усі елементи у списку"	"Inkludera alla objekt i listan"	"Inkluder alle elementene i listen"	"包含列表中的所有项目"	"Listeye tüm öğeleri ekleyin"	"Добавить все элементы из списка"	"შეიტანეთ სიაში ყველა ელემენტი"	"Includeți toate elementele din listă"	"Inclua todos os itens da lista"	"Dołącz wszystkie elementy na liście"	"Neem alle items in de lijst op"	"Fügen Sie alle Elemente in die Liste ein"	"목록에 모든 항목을 포함시킵니다"	"リスト内の全アイテムを含める"	"Includi tutti gli elementi nell'elenco"	"Sertakan semua item dalam daftar"	"सूची में सभी आइटम शामिल करें"	"তালিকায় সমস্ত আইটেম অন্তর্ভুক্ত করুন"	"Bao gồm tất cả các mục trong danh sách"	"قم بتضمين جميع العناصر في القائمة"
"EnableAll"	"Enable all items in the list"	"Habilitar todos los elementos de la lista"	"Povolit všechny položky v seznamu"	"Ota kaikki luettelon kaikki kohteet käyttöön"	"Activer tous les éléments de la liste"	"Увімкніть усі елементи списку"	"Aktivera alla objekt i listan"	"Aktiver alle elementene i listen"	"启用列表中的所有项目"	"Listedeki tüm öğeleri etkinleştirin"	"Активировать все элементы из списка"	"ჩართეთ სიაში ყველა ელემენტი"	"Activați toate elementele din listă"	"Ativar todos os itens da lista"	"Włącz wszystkie elementy na liście"	"Schakel alle items in de lijst in"	"Aktivieren Sie alle Elemente in der Liste"	"목록의 모든 항목을 활성화하십시오"	"リスト内の全アイテムを有効化"	"Abilita tutti gli elementi nell'elenco"	"Aktifkan semua item dalam daftar"	"सूची में सभी आइटम सक्षम करें"	"তালিকার সমস্ত আইটেম সক্ষম করুন"	"Bật tất cả các mục trong danh sách"	"تمكين جميع العناصر في القائمة"
"DisableAll"	"Disable all items in the list"	"Deshabilite todos los elementos de la lista"	"Zakázat všechny položky v seznamu"	"Poista kaikki luettelon kohteet käytöstä"	"Désactiver tous les éléments de la liste"	"Вимкніть усі елементи у списку"	"Inaktivera alla objekt i listan"	"Deaktiver alle elementene i listen"	"禁用列表中的所有项目"	"Listedeki tüm öğeleri devre dışı bırakın"	"Отключить все элементы из списка"	"გამორთეთ ყველა ელემენტი სიაში"	"Dezactivați toate elementele din listă"	"Desative todos os itens da lista"	"Wyłącz wszystkie elementy na liście"	"Schakel alle items in de lijst uit"	"Deaktivieren Sie alle Elemente in der Liste"	"목록의 모든 항목을 비활성화하십시오"	"リスト内の全アイテムを無効化"	"Disabilita tutti gli elementi nell'elenco"	"Nonaktifkan semua item dalam daftar"	"सूची में सभी आइटम अक्षम करें"	"তালিকার সমস্ত আইটেম অক্ষম করুন"	"Tắt tất cả các mục trong danh sách"	"تعطيل جميع العناصر في القائمة"
"RedownloadMods"	"Re-download broken mods"	"Vuelva a descargar mods rotos"	"Opětovné natírání rozbitých modů"	"Lataa rikkoutuneet modit uudelleen"	"Repload les mods cassés"	"Повторно завантажити зламані моди"	"Ladda ner trasiga mods"	"Last ned ødelagte mods på nytt"	"重新下载损坏的模组"	"Kırık modları yeniden indir"	"Повторно загрузить поврежденные моды"	"ხელახლა გადმოტვირთვა გატეხილი mods"	"Re-descărcați moduri rupte"	"Faça o download de mods quebrados"	"Ponownie pobrać zepsute mode"	"Opnieuw downloaden gebroken mods"	"Neu herunterladen kaputte Mods"	"깨진 모드를 다시 다운로드하십시오"	"破損扱いのMODを再DL"	"Riflegare le mod rotte"	"Download ulang mod rusak"	"टूटे हुए मोड को फिर से लोड करें"	"ভাঙা মোডগুলি পুনরায় ডাউনলোড করুন"	"Tải lại các mod bị hỏng"	"إعادة تنزيل التعديلات المكسورة"
"CollectionLink"	"Steam collection URL or ID number"	"URL de recolección de vapor o número de identificación"	"URL nebo ID číslo sběru páry"	"Höyrykokoelman URL -osoite tai henkilöllisyys"	"URL de collecte de vapeur ou numéro d'identification"	"URL -адреса колекції Steam або ідентифікаційний номер"	"Ångsamlings -URL eller ID -nummer"	"Steam Collection URL eller ID -nummer"	"Steam 合集链接或 ID 编号"	"Steam Toplama URL veya Kimlik Numarası"	"URL или ID коллекции Steam"	"Steam Collection URL ან პირადობის ნომერი"	"URL de colectare Steam sau număr de identificare"	"URL de coleta de vapor ou número de identificação"	"URL z kolekcji parowej lub numer identyfikacyjny"	"Stoomverzameling URL of ID -nummer"	"Dampfsammlung URL oder ID -Nummer"	"증기 수집 URL 또는 ID 번호"	"Steam内のコレクションURLやID番号"	"URL di raccolta Steam o numero ID"	"URL koleksi uap atau nomor ID"	"स्टीम कलेक्शन URL या ID नंबर"	"বাষ্প সংগ্রহের ইউআরএল বা আইডি নম্বর"	"URL bộ sưu tập hơi hoặc số ID"	"عنوان URL أو رقم الهوية"
"PasteCollection"	"Paste the url or id of the collection you'd like to view"	"Pegue la URL o la identificación de la colección que desea ver"	"Vložte adresu URL nebo ID sbírky, kterou chcete zobrazit"	"Liitä kokoelman URL -osoite tai tunnus"	"Collez l'URL ou l'ID de la collection que vous aimeriez voir"	"Вставте URL -адресу або ідентифікатор колекції, яку ви хочете переглянути"	"Klistra in webbadressen eller ID för den samling du vill se"	"Lim inn url eller ID for samlingen du vil se"	"粘贴想要查看的合集的网址或 ID"	"Görüntülemek istediğiniz koleksiyonun URL'sini veya kimliğini yapıştırın"	"Вставьте URL или ID коллекции, которую вы хотите просмотреть"	"ჩასვით კოლექციის URL ან პირადობის მოწმობა, რომლის ნახვაც გსურთ"	"Lipiți adresa URL sau ID -ul colecției pe care doriți să o vizualizați"	"Cole o URL ou ID da coleção que você gostaria de ver"	"Wklej adres URL lub identyfikator kolekcji, którą chcesz zobaczyć"	"Plak de URL of ID van de collectie die u wilt bekijken"	"Fügen Sie die URL oder ID der Sammlung ein, die Sie anzeigen möchten"	"보고 싶은 컬렉션의 URL 또는 ID를 붙여 넣으십시오."	"表示したいコレクションのURL・ワークショップのIDを貼り付け"	"Incolla l'URL o l'ID della collezione che desideri visualizzare"	"Tempel URL atau ID koleksi yang ingin Anda lihat"	"उस संग्रह का URL या ID पेस्ट करें जिसे आप देखना चाहते हैं"	"আপনি যে সংগ্রহটি দেখতে চান তার ইউআরএল বা আইডিটি আটকান"	"Dán URL hoặc ID của bộ sưu tập bạn muốn xem"	"الصق عنوان URL أو معرف المجموعة التي ترغب في مشاهدتها"
"ModUtilities"	"Mod Utilities"	"Utilidades de mod"	"Mod Utilities"	"Apuohjelmat"	"Mod les services publics"	"Мод -утиліти"	"Modt verktyg"	"Mod verktøy"	"模组实用程序"	"Mod yardımcı programları"	"Утилиты"	"კომუნალური კომუნალური მომსახურება"	"Utilități mod"	"Utilitários de mod"	"Modne narzędzia"	"Mod Utilities"	"Mod -Dienstprogramme"	"모드 유틸리티"	"MODユーティリティ"	"Utilità mod"	"Utilitas mod"	"मॉड यूटिलिटीज"	"মোড ইউটিলিটিস"	"Modility"	"مرافق MOD"
"LoadCollection"	"Load Collection"	"Recolección de carga"	"Sběr zatížení"	"Kuormituskokoelma"	"Collecte de charges"	"Колекція навантаження"	"Lastuppsamling"	"Lastsamling"	"加载合集"	"Yük toplama"	"Загрузить коллекцию"	"დატვირთვის კოლექცია"	"Colectarea încărcăturii"	"Coleta de carga"	"Zbieranie obciążenia"	"Laadverzameling"	"Lastsammlung"	"로드 컬렉션"	"コレクションのロード"	"Raccolta di carico"	"Pengumpulan Muat"	"भार संग्रह"	"লোড সংগ্রহ"	"Tải bộ sưu tập"	"مجموعة التحميل"
"CollectionTitle"	"Workshop Collections"	"Colecciones de Workshop"	"Sbírky dílny"	"Työpajakokoelmat"	"Collections d'atelier"	"Колекції семінару"	"Verkstadssamlingar"	"Workshop -samlinger"	"创意工坊合集"	"Atölye koleksiyonları"	"Коллекции мастерской"	"სემინარის კოლექციები"	"Colecții de ateliere"	"Coleções de oficina"	"Kolekcje warsztatowe"	"Workshop -collecties"	"Workshop -Sammlungen"	"워크숍 컬렉션"	"ワークショップのコレクション"	"Collezioni di workshop"	"Koleksi lokakarya"	"कार्यशाला संग्रह"	"কর্মশালা সংগ্রহ"	"Bộ sưu tập hội thảo"	"مجموعات ورشة العمل"
"Packages"	"Packages"	"Paquetes"	"Balíčky"	"Paketit"	"Paquets"	"Пакети"	"Paket"	"Pakker"	"插件"	"Paketler"	"Пакеты"	"პაკეტები"	"Pachete"	"Pacotes"	"Pakiety"	"Pakketjes"	"Pakete"	"패키지"	"パッケージ"	"Pacchetti"	"Paket"	"संकुल"	"প্যাকেজ"	"Gói"	"حزم"
"HelpLogs"	"Help & Logs"	"Ayuda y Registros"	"Nápověda a protokoly"	"Apu ja lokit"	"Aide et journaux"	"Довідка та журнали"	"Hjälp & loggar"	"Hjelp og logger"	"获取帮助和日志"	"Yardım ve Günlükler"	"Помощь и логи"	"დახმარება და ჟურნალი"	"Ajutor și jurnale"	"Ajuda e logs"	"Pomoc i dzienniki"	"Help en logboeken"	"Hilfe & Protokolle"	"도움말 & 로그"	"ヘルプ & ログ"	"Aiuto e registri"	"Bantuan & Log"	"मदद और लॉग"	"সহায়তা এবং লগ"	"Trợ giúp & Nhật ký"	"المساعدة والسجلات"
"Options"	"Options"	"Opciones"	"Možnosti"	"Vaihtoehdot"	"Options"	"Варіанти"	"alternativ"	"Alternativer"	"选项"	"Seçenekler"	"Параметры"	"Პარამეტრები"	"Opțiuni"	"Opções"	"Opcje"	"Opties"	"Optionen"	"옵션"	"オプション"	"Opzioni"	"Pilihan"	"विकल्प"	"বিকল্প"	"Tùy chọn"	"خيارات"
"CrNotAvailable"	"Compatibility Report is not available, click here to subscribe to the mod"	"El informe de compatibilidad no está disponible, haga clic aquí para suscribirse al mod"	"Zpráva o kompatibilitě není k dispozici, klikněte sem a přihlaste se k odběru MOD"	"Yhteensopivuusraportti ei ole käytettävissä, napsauta tätä tilataksesi modin"	"Le rapport de compatibilité n'est pas disponible, cliquez ici pour vous abonner au mod"	"Звіт про сумісність недоступний, натисніть тут, щоб підписатися на мод"	"Kompatibilitetsrapport är inte tillgänglig, klicka här för att prenumerera på mod"	"Kompatibilitetsrapport er ikke tilgjengelig, klikk her for å abonnere på moden"	"Compatibility Report 当前不可用，点击此处订阅此模组"	"Uyumluluk raporu mevcut değil, moduna abone olmak için buraya tıklayın"	"Отчет о совместимости недоступен, нажмите здесь, чтобы подписаться на мод"	"თავსებადობის ანგარიში არ არის ხელმისაწვდომი, დააჭირეთ აქ, რომ გამოიწეროთ mod"	"Raportul de compatibilitate nu este disponibil, faceți clic aici pentru a vă abona la Mod"	"O relatório de compatibilidade não está disponível, clique aqui para se inscrever no mod"	"Raport kompatybilności nie jest dostępny, kliknij tutaj, aby zasubskrybować mod"	"Compatibiliteitsrapport is niet beschikbaar, klik hier om u te abonneren op de mod"	"Kompatibilitätsbericht ist nicht verfügbar. Klicken Sie hier, um den Mod abonnieren"	"호환성 보고서를 사용할 수 없습니다. 여기를 클릭하여 모드를 구독하십시오."	"Compatibility Reportが利用できません。ここをクリックしてMODをサブスクして下さい。"	"Il rapporto di compatibilità non è disponibile, fai clic qui per iscriverti alla mod"	"Laporan Kompatibilitas tidak tersedia, klik di sini untuk berlangganan MOD"	"संगतता रिपोर्ट उपलब्ध नहीं है, MOD की सदस्यता लेने के लिए यहां क्लिक करें"	"সামঞ্জস্যতা প্রতিবেদন উপলভ্য নয়, মোডে সাবস্ক্রাইব করতে এখানে ক্লিক করুন"	"Báo cáo tương thích không khả dụng, bấm vào đây để đăng ký Mod"	"تقرير التوافق غير متوفر ، انقر هنا للاشتراك في وزارة الدفاع"
"ModsWithMinorIssues"	"mods with minor issues"	"Mods con problemas menores"	"Mods s menšími problémy"	"Modit, joilla on pieniä kysymyksiä"	"Mods avec des problèmes mineurs"	"Моди з незначними проблемами"	"mods med mindre problem"	"mods med mindre problemer"	"个有次要问题的模组"	"Küçük sorunları olan modlar"	"моды с незначительными проблемами"	"MODS მცირე საკითხებით"	"moduri cu probleme minore"	"mods com pequenos problemas"	"Mody z drobnymi problemami"	"mods met kleine problemen"	"Mods mit kleinen Problemen"	"사소한 문제가있는 모드"	"個のMODにマイナーな問題"	"Mod con problemi minori"	"mod dengan masalah kecil"	"मामूली मुद्दों के साथ मॉड"	"ছোটখাটো সমস্যা সহ মোড"	"Mod có vấn đề nhỏ"	"تعديل مع قضايا بسيطة"
"ModsWithMajorIssues"	"mods with major issues"	"Mods con problemas importantes"	"Mods s hlavními problémy"	"Modit, joilla on suuria kysymyksiä"	"Mods avec des problèmes majeurs"	"моди з основними проблемами"	"mods med stora problem"	"mods med store problemer"	"个有主要问题的模组"	"Büyük sorunları olan modlar"	"моды с серьезными проблемами"	"MODS ძირითადი საკითხებით"	"moduri cu probleme majore"	"mods com grandes problemas"	"Mody z głównymi problemami"	"mods met grote problemen"	"Mods mit großen Problemen"	"주요 문제가있는 모드"	"個のMODにメジャーな問題"	"Mod con problemi importanti"	"mod dengan masalah besar"	"प्रमुख मुद्दों के साथ मॉड"	"প্রধান সমস্যা সহ মোড"	"Mod có vấn đề lớn"	"تعديل مع القضايا الرئيسية"
"ModsShouldUnsub"	"mods that should be unsubscribed from"	"modificaciones que deben dejar de suscripción de"	"mody, které by měly být odhlášeny"	"modit, joita tulisi peruuttaa"	"mods qui devraient être non abordés"	"моди, які слід скасувати"	"mods som bör avskrivas från"	"mods som skal være avmeldt fra"	"个应当取消订阅的模组"	"abonelik edilmesi gereken modlar"	"моды от которых необходимо отписаться"	"რეჟიმები, რომლებიც უნდა იყოს გამოწერილი"	"Moduri care ar trebui să fie dezabonate"	"mods que devem ser candidatos a"	"Mody, które powinny być rezygnowane z subskrypcji"	"mods die moeten worden afgenomen van"	"Mods, die abgemeldet werden sollten"	"구독을 취소 해야하는 모드"	"個のMODはサブスク解除を推奨"	"mod che dovrebbero essere annullate"	"mod yang harus tidak diterjemahkan dari"	"मॉड्स जो से अनसब्स किया जाना चाहिए"	"মোডগুলি যা থেকে সাবস্ক্রাইব করা উচিত"	"các mod nên được hủy đăng ký"	"تعديل يجب إلغاء الاشتراك من"
